k,Method,SampleCount,MAE_m,RMSE_m,Median_m,P95_m,TimePer1000Pts_ms
10,linear,6022875,6.230675282748141,15.0602069781726,2.3329646794591157,25.85349711152607,0.004742818006351924
20,linear,5988455,16.157956191056847,41.92269570922765,3.7651891548044505,81.00362103720893,0.0027699465054173613
30,linear,5954035,30.88061031974449,78.71164634256414,5.417434738866257,166.07024296522428,0.0026559131748766364
40,linear,5919615,49.69194982805271,122.92906157252855,7.607752486198363,271.41322932745936,0.002680444589729672
50,linear,5885195,71.94600305152177,172.89662019356314,10.34609916252744,394.65477517573606,0.002664074852242724
60,linear,5850775,97.17650003386274,227.65627843793752,13.617260739594913,529.4089809697056,0.002671270045392282
70,linear,5816355,125.05875908219605,286.7171363184726,17.467651789224483,675.7222285278084,0.0026961559258027864
80,linear,5781935,155.33926892210403,349.7430227168915,21.80919622408757,832.6094955890197,0.002683703638999599
90,linear,5747515,187.80158673606618,416.4322321154964,26.716960107252753,998.84236949867,0.0026883096433825276
100,linear,5713095,222.29942164048003,486.5312415550872,32.151647271390836,1169.7529734077632,0.002677883003880989
110,linear,5678675,258.6632142590977,559.6365210761356,38.043166540618394,1348.1438592306115,0.00266136026450042
120,linear,5644255,296.719973766304,635.3742661011328,44.28380846937283,1528.593605421109,0.0027150084466589556
130,linear,5609835,336.31635367028935,713.4400885881051,50.91543698408484,1712.4501164768117,0.0027355528281972435
140,linear,5575415,377.3203170378583,793.5854963711739,58.08951650865149,1904.9795285421196,0.002701054540329489
150,linear,5540995,419.64464385760084,875.5975831487001,65.98929369929951,2100.485821884932,0.002695346232958924
160,linear,5506575,463.19870953351335,959.2853216195941,74.25973222847979,2295.0592548202076,0.0027026600018867034
170,linear,5472155,507.90196616940136,1044.5197450881776,83.18855048183076,2491.8636777500237,0.00270695914132791
180,linear,5437735,553.6924860224618,1131.2161850356383,92.40916244251711,2693.899311089611,0.0027211145817369648
190,linear,5403315,600.4824073898249,1219.2638275975273,101.95020398776064,2895.7212535082977,0.0027337847229002795
200,linear,5368895,648.1923736906589,1308.5443105098338,111.70438253537893,3098.928218067491,0.0027343801657441335
210,linear,5334475,696.7447865997428,1398.9219246268328,121.84892331506192,3307.1646411767347,0.0027238669222106413
220,linear,5300055,746.0623638839339,1490.3031330523313,132.6076115203279,3512.519322137412,0.002752462002728743
230,linear,5265635,796.0595128575812,1582.5955300149035,143.67432855619285,3716.7912062098258,0.002775790574131885
240,linear,5231215,846.7154411627012,1675.7098870576058,155.03527512431668,3923.2909263621414,0.002764271780100053
250,linear,5196795,898.0433911274191,1769.628745009891,167.1667624983895,4130.020940894994,0.0027622409581196865
260,linear,5162375,950.0388870272034,1864.2763612332906,179.98703422130478,4337.464645527099,0.0027810842877633146
270,linear,5127955,1002.6771771797604,1959.591343079932,194.28398761297854,4547.263472601654,0.002728846099461474
280,linear,5093535,1055.903608526403,2055.521291364446,209.31728063445792,4747.562711282522,0.0027837248590509745
290,linear,5059115,1109.6300777653628,2151.9544388465733,224.1808727093841,4951.2468158372385,0.0027342726939184824
10,slerp,6022875,6.230622319358905,15.060201827562798,2.3328035928432755,25.852324920589705,0.18713582798911152
20,slerp,5988455,16.157556629462476,41.92267412561301,3.7654107763389457,81.0057743919062,0.162495334773329
30,slerp,5954035,30.8794637356807,78.71163307235068,5.417277018731617,166.06625162006836,0.16040496906720744
40,slerp,5919615,49.68939234704315,122.92920355806572,7.6084427241333605,271.41022077423673,0.15968301992613498
50,slerp,5885195,71.94123258042124,172.8970154539648,10.341217327962388,394.6230747176111,0.15959695473132404
60,slerp,5850775,97.16849668276195,227.6568713853374,13.623285030641199,529.416504815985,0.16033754502609449
70,slerp,5816355,125.04629917630672,286.7176536157766,17.468418155773808,675.6960688187639,0.16094435432498078
80,slerp,5781935,155.32178003359323,349.742885853037,21.823921687923967,832.5452525970733,0.16127107966452342
90,slerp,5747515,187.7782655335373,416.4306042140035,26.74659525175099,998.7866588307995,0.16076692274835064
100,slerp,5713095,222.2683474059418,486.5271059222906,32.18189627886619,1169.675961194769,0.160507430735903
110,slerp,5678675,258.62209231205264,559.6286670066329,38.068181457442364,1348.1226527930198,0.16085641456852795
120,slerp,5644255,296.6667529883417,635.361255649143,44.3175290577735,1528.5467541620849,0.16125261881327452
130,slerp,5609835,336.24873831192195,713.4202603667597,50.932049536767934,1712.2618708945267,0.1608303809292084
140,slerp,5575415,377.2362568310425,793.5570629839327,58.07908717227431,1904.801594155492,0.1612348856542431
150,slerp,5540995,419.5413692334075,875.558692297271,65.9336846759526,2100.153090715129,0.16090758067816854
160,slerp,5506575,463.0736935315638,959.234083635769,74.164232349465,2295.0138146504687,0.16090555381521143
170,slerp,5472155,507.7525326424707,1044.4542681697212,83.13670200651273,2491.8416416969194,0.16211677118065015
180,slerp,5437735,553.5139906093406,1131.13464803531,92.31307838049504,2693.451216500333,0.16233266240445288
190,slerp,5403315,600.2698621598237,1219.1644129088163,101.74954097430465,2895.352877254657,0.16206460293356015
200,slerp,5368895,647.9405299236428,1308.4251228776372,111.34797243691219,3098.574118624252,0.16253778477695371
210,slerp,5334475,696.4494714959412,1398.7808266321608,121.40789708556905,3306.9881543509446,0.16210926098631828
220,slerp,5300055,745.7177046925459,1490.137780142676,132.128724930512,3512.307965676262,0.1627733108430037
230,slerp,5265635,795.6606092140403,1582.403474602019,143.20555270249127,3716.7318161390644,0.16330761627041673
240,slerp,5231215,846.2569578276099,1675.4884705893787,154.5294745517295,3923.2961280016953,0.16248978487788904
250,slerp,5196795,897.520143154073,1769.3751915091407,166.65543857662502,4129.586351698475,0.16344252563358924
260,slerp,5162375,949.4458832933019,1863.9878629500583,179.42760849498342,4337.28908799935,0.16359592241944135
270,slerp,5127955,1002.0102150715793,1959.2648585957104,193.7179306895781,4547.370689568805,0.16267588151614293
280,slerp,5093535,1055.1580500641076,2055.1536565556244,208.95914324325082,4747.657310967208,0.16457481886351283
290,slerp,5059115,1108.8009797152583,2151.542243895728,224.010096468609,4950.589464214586,0.16391989508044402
